Investor Name,Priority,Relationship Type,Claim/Context,Source Document,Page/Location,Deal Context,Verification Priority
Alkeon,Low,Tier 4 Generalist network,"Listed in Tier 4 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
Bond,Low,Tier 4 Generalist network,"Listed in Tier 4 deeptech-interested generalists",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Salesforce Ventures,Low,Tier 4 Generalist network,"Listed in Tier 4 deeptech-interested generalists",Sourcing Differentiation.md,Page 5,Network mention,Low
General Catalyst,Low,Tier 4 + separate mention,"Tier 4 or separate mention as growing deeptech interest",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Tiger Global,Low,Generalist network,"Mentioned on Fund I page 10 as growing deeptech interest, Tier 2",Sourcing Differentiation.md; Fund I.md,Page 5; Page 10,Network mention,Low
Cantos,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator with Hyperion",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
Quanto Nation,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
Topology,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
HOF,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
AlleyCorp,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
N47,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
Construct,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
Root Ventures,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
CIV,Low,Early-stage deeptech collaborator,"Listed as early-stage deeptech collaborator",Sourcing Differentiation.md,Page 5,Network - Collaborator claim,Low
Toyota Ventures,Low,Central Hub partner,"Listed as one of 4 Central Hub partners",Sourcing Differentiation.md,Page 5,Network - Hub claim,Low
Bezos Expeditions,Low,Co-investor,"Key investor in Figure AI",Case Studies - Outperforming Investments.md,Page 3,Figure AI,Low
Samsung Next,Low,Co-investor,"Key investor in Normal Computing",Case Studies - Outperforming Investments.md,Page 4,Normal Computing,Low
First Round Ventures,Low,Co-investor,"Key investor in Normal Computing",Case Studies - Outperforming Investments.md,Page 4,Normal Computing,Low
Valor Equity,Low,Co-investor,"Backed Bedrock where Henry Bellew provided market analysis",Fund I.md,Page 6,Bedrock,Low
Craft,Low,Co-investor,"Backed Garden where Henry Bellew worked",Fund I.md,Page 6,Garden ($7M+ raised),Low
Felicis,Low,Network mention,"Backed Mercor ($10B rumored Series C), connection via Virat Talwar '23",Sourcing Differentiation.md,Page 4,Harvard network - Mercor,Low
Ch. 1,Low,Co-investor in failed deal,"Investor in Entheos (failed investment)",Case Studies - Underperforming Investments.md,Page 3,Entheos (failed),Low
186b Ventures,Low,Co-investor in failed deal,"Investor in Entheos (failed investment)",Case Studies - Underperforming Investments.md,Page 3,Entheos (failed),Low
Blockchange,Low,Co-investor in failed deal,"Investor in Entheos (failed investment)",Case Studies - Underperforming Investments.md,Page 3,Entheos (failed),Low
Jamie Lee @ Tamarack Global,High,Managing Partner + Deal flow partner,"Managing Partner with 80 mutual LinkedIn connections, ONLY connection at firm - primary deal source for Figure AI",LinkedIn + Case Studies - Outperforming.md,LinkedIn Profile,Figure AI - Sourced Series A,Critical - ONLY contact at key deal flow firm
David Breach @ Vista Equity,High,President/COO + LP investor,"President and Chief Operating Officer, 18 mutuals, C-suite validation of Dillon's capabilities",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Critical - C-suite LP commitment validation
Fareed Adib @ Vista Equity,High,President OneVista + MD + LP investor,"President of OneVista and Managing Director, 45 mutuals, senior leadership validation",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Critical - C-suite LP commitment validation
Cheryl Cecchini Leahy @ Vista Equity,High,Senior Managing Director + LP investor,"Senior Managing Director, 23 mutuals, MD-level backup reference",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,High - Senior leadership validation
Brian Steel @ Vista Equity,High,MD Strategic Communications + LP investor,"Managing Director Strategic Communications, 4 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium-High
Ryan McMorrow @ Vista Equity,High,SVP + LP investor,"Senior Vice President, 32 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium-High
Stephen Foster @ Vista Equity,High,SVP + LP investor,"Senior Vice President, 9 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium
Kyle Henderson @ Vista Equity,High,VP + LP investor,"Vice President, 15 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium
Nicholas Burrello @ Vista Equity,High,Senior Associate + LP investor,"Senior Associate, 12 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium
Jack Dillon @ Vista Equity,High,Software Investor + LP investor,"Software investor, 14 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium
Andrew Hughes @ Vista Equity,High,Value Creation + LP investor,"Product & Technology Value Creation, 5 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium
Ryan Blitstein @ Vista Equity,High,Value Creation + LP investor,"Value Creation (GTM, AI, ESG), 17 mutuals",LinkedIn + Fund I.md,LinkedIn Profile,Vista 2021-2025,Medium
Mike Annunziata @ Also Capital,High,Founder & Solo GP + Key mentor,"Founder & Solo GP, 205+ mutuals, CONFIRMED target from dataroom, key mentor claim",LinkedIn + Case Studies - Recent.md,LinkedIn Profile,Mesh Optical - Seed co-investor,Critical - EXACT TARGET, mentorship validation
Brandes Woodall @ Also Capital,High,Secondary contact,"17 mutuals, backup contact at Also Capital",LinkedIn,LinkedIn Profile,Also Capital network,Low - Backup to Mike Annunziata
Matthew Mazzeo @ Coatue,High,Formerly Coatue + 1st-degree,"Formerly Coatue & Lowercase, 336+ mutuals, 1ST-DEGREE connection - WARM INTRO AVAILABLE",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Dirac - Co-led $6M seed,Critical - Use for warm intro to Spencer Peterson
Spencer Peterson @ Coatue,High,General Partner + Strategic partner,"General Partner, 212+ mutuals, strategic partnership claim validation",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Dirac - Co-led $6M seed,Critical - Strategic partner validation
Lucas Swisher @ Coatue,High,Lead Growth Investing,"Lead Growth Investing, 266+ mutuals, highly connected backup",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Coatue network,High - Secondary Coatue contact
Elijah Sutanto @ Coatue,High,Vice President,"Vice President, 24 mutuals",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Coatue network,Medium
Rohan Bharvani @ Coatue,High,Investor,"Investor at Coatue Management, 46 mutuals",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Coatue network,Medium
Nihar Sheth @ Firmament,High,Vice President + LP investor,"Vice President, 13 mutuals, Firmament colleague planning to invest",LinkedIn + Letter to LPs.md,LinkedIn Profile,Quantinuum original investment,Medium-High - Firmament LP validation
Brian Bell (ex-AWS),High,ex-AWS + Potential Amazon contact,"Founder at Team Ignite Ventures, ex AI at AWS, 235+ mutuals - NO LONGER AT AMAZON",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Unclear - Now at different firm,Low - May not validate Amazon claim
Michael Sutton (Potential Amazon),High,Investor + Potential Amazon contact,"Investor/Board Member/Advisor, 32 mutuals, unclear Amazon affiliation",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Unclear Amazon connection,Low - Requires profile verification
Connor Dawson (Potential Amazon),High,MD + Potential Amazon contact,"MD at Growth Catalyst Partners, 10 mutuals, unclear Amazon affiliation",LinkedIn + Deeptech perspectives.md,LinkedIn Profile,Unclear Amazon connection,Low - Requires profile verification
John Luttig @ Founders Fund,Medium,Partner + Co-investor,"Partner, 214+ mutuals, co-led Dirac seed, strong network",LinkedIn + Case Studies - Outperforming.md,LinkedIn Profile,Dirac - Co-led $6M seed,High - Co-investor validation
Amin Mirzadegan @ Founders Fund,Medium,Partner + Co-investor,"Partner, 100 mutuals, co-led Dirac seed",LinkedIn + Case Studies - Outperforming.md,LinkedIn Profile,Dirac - Co-led $6M seed,Medium-High
Luca Parolari @ DCVC,Medium,Senior Associate @DCVC Bio,"Senior Associate @DCVC Bio, MD/PhD, 27 mutuals",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Quantinuum co-investor,Medium
Philip Clark @ Thrive Capital,Medium,1st-degree connection,"1ST-DEGREE, 74 mutuals - WARM INTRO AVAILABLE, led Mesh Optical seed",LinkedIn + Case Studies - Recent.md,LinkedIn Profile,Mesh Optical (lead investor),High - 1st-degree warm intro
Jack Moshkovich @ 8VC,Medium,Partner + Central Hub,"Partner, 110 mutuals, Central Hub filtering relationship",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Bedrock ($80M+ raised),Medium-High
Jimmy S. Yun @ 8VC,Medium,8VC contact,"83 mutuals, role unspecified",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,8VC network,Medium
Bela Becerra @ 8VC,Medium,8VC contact,"55 mutuals, role unspecified",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,8VC network,Medium
Justin Rose @ 8VC,Medium,Associate,"Associate, 28 mutuals",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,8VC network,Low
Jason Cui @ a16z,Medium,Partner Infrastructure & AI,"Partner @ a16z - Infrastructure & AI, 95 mutuals",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Central Hub partner,Medium-High
Ryan M. @ a16z,Medium,Partner,"Partner @ a16z, 84 mutuals",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Central Hub partner,Medium-High
Oliver Hsu @ a16z,Medium,Investment Partner,"Investment Partner, 66 mutuals",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Central Hub partner,Medium
Shangda Xu @ a16z,Medium,Investing Partner,"Investing Partner, 22 mutuals",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Central Hub partner,Medium
Eric Helfgott @ Lowercarbon,Medium,Principal,"Principal, 31 mutuals, Central Hub partner",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Zap Energy (~$1.1B valuation),Medium
James Kuklinski @ Spark Capital,Medium,General Partner,"General Partner, 97 mutuals, co-investor in Antithesis",LinkedIn + Fund I.md,LinkedIn Profile,Antithesis (>$80M raised),Medium-High
Clay Fisher @ Spark Capital,Medium,General Partner,"General Partner, 45 mutuals, co-investor in Antithesis",LinkedIn + Fund I.md,LinkedIn Profile,Antithesis (>$80M raised),Medium
Mike Dauber @ Amplify,Medium,General Partner,"General Partner, 110 mutuals, deeptech collaborator",LinkedIn + Sourcing Differentiation.md,LinkedIn Profile,Antithesis co-investor,Medium-High
John Volquez @ Drive Capital,Medium,Partner,"Partner, 62 mutuals, led Normal Series A where Dillon got advisory shares",LinkedIn + Case Studies - Outperforming.md,LinkedIn Profile,Normal Computing - $17M Series A,Medium
Jin Kim @ Alumni Ventures,Medium,EVP + Syndication partner,"Executive Vice President, 47 mutuals, Dillon syndicated into Haiqu",LinkedIn + Case Studies - Recent.md,LinkedIn Profile,Haiqu seed - Dillon syndication,Medium
David K. Cohen @ Collaborative Fund,Medium,Operating Partner + Syndication,"Operating Partner & GC, 29 mutuals, Dillon syndicated into Haiqu",LinkedIn + Case Studies - Recent.md,LinkedIn Profile,Haiqu seed - Dillon syndication,Medium
Matt Kaufman @ Collaborative Fund,Medium,Investor + Syndication,"Investor, 14 mutuals, co-investor via Dillon syndication",LinkedIn + Case Studies - Recent.md,LinkedIn Profile,Haiqu seed,Low-Medium
